Comment,Designator,Footprint,JLCPCB Part #（optional）
10k,"R1G5,R37,R28,R14,R2,R34,R21,R7,R1G2,R6,R25,R1G3,R1G6,R32,R27,R13,R1G4,R12,R26,R5,R20,R33,R23,R1G1,R3,R2G2,R35,R36,R22,R4,R24,R8,R2G1",R_0805_2012Metric,C25612
ZXMN3A14F,"Q9,Q6,Q2,Q1,Q4,Q3,Q5,Q8",SOT-23,C88051
LED_Green,"D24,D9,D2,D1,D5,D12,D21,D15,D18",LED_0603_1608Metric,C12624
2.2uF+/35V+,"C3,C5,C7,C4,C6,C9,C1,C10",C_0805_2012Metric,C377773
LED_Red,"D10,D22,D3,D6,D16,D25,D8,D13",LED_0603_1608Metric,C2286
220,"R3G2,R3G5,R3G3,R9,R10,R11,R3G4,R3G1",R_0805_2012Metric,C25294
Fuse,"F3,F2,F4,F8,F6,F1,F7,F5",Fuse_0805_2012Metric,C2760264
SM4002,"D4,D19,D23,D26,D7,D14,D11,D17",D_SOD-123F,C169542
PCA9685PW,U1,TSSOP-28_4.4x9.7mm_P0.65mm,C2678753
10uf,C2,C_0805_2012Metric,C15850
470,R1,R_0805_2012Metric,C229215