Designator,Mid X,Mid Y,Layer,Rotation
C1,190.4,-123.221066,top,90
C2,98.1,-69.27,top,90
C3,138.527673,-57.722425,top,-90
C4,150.9,-57.8,top,-90
C5,162.75,-57.72,top,-90
C6,174.475,-57.75,top,-90
C7,187.35,-58.67,top,-90
C9,163.85,-124.953934,top,90
C10,177.46,-125.1,top,90
D1,138.2,-48.2,top,-90
D2,95.6,-66.15,top,0
D3,140.1,-48.1875,top,-90
D4,139.667327,-50.927575,top,0
D5,150.35,-48.15,top,-90
D6,152.25,-48.15,top,-90
D7,151.825,-50.902575,top,0
D8,189,-133.5,top,90
D9,162.45,-48.15,top,-90
D10,164.3,-48.15,top,-90
D11,163.95,-50.9,top,0
D12,174.15,-48.1,top,-90
D13,176.05,-48.1,top,-90
D14,175.625,-50.902575,top,0
D15,186.55,-48.05,top,-90
D16,188.4,-48.05,top,-90
D17,188.0275,-50.827575,top,0
D18,190.7,-133.5,top,90
D19,189.4,-130.7,top,180
D21,164.65,-133.45,top,90
D22,162.95,-133.45,top,90
D23,163,-130.6,top,180
D24,177.8,-133.5,top,90
D25,176.05,-133.5,top,90
D26,176.1,-130.75,top,180
F1,136.277673,-57.7,top,-90
F2,148.8,-57.75,top,-90
F3,160.55,-57.7,top,-90
F4,172.125,-57.725,top,-90
F5,166.1,-124.953934,top,90
F6,185.05,-58.65,top,-90
F7,179.71,-125.1,top,90
F8,192.8,-123.201066,top,90
Q1,187.35,-127.4875,top,-90
Q2,142.15,-54.45,top,90
Q3,154.2,-54.75,top,90
Q4,166,-54.75,top,90
Q5,177.8,-54.6,top,90
Q6,190.7,-54.477575,top,90
Q8,160.85,-127.353934,top,-90
Q9,174.05,-127.55,top,-90
R1,95.6,-69.25,top,-90
R1G1,111.1,-79.25,top,90
R1G2,108.16,-79.25,top,90
R1G3,105.22,-79.25,top,90
R1G4,102.28,-79.25,top,90
R1G5,99.05,-79.25,top,90
R1G6,96.6,-79.25,top,90
R2,114.9,-63.1,top,180
R2G1,114.9,-65.225,top,180
R2G2,114.9,-67.35,top,180
R3,137.7375,-53.95,top,180
R3G1,102.4375,-48.05,top,0
R3G2,102.4375,-50.05,top,0
R3G3,102.4375,-52.05,top,0
R3G4,102.4375,-54.05,top,0
R3G5,102.4375,-56.05,top,0
R4,141.827673,-57.972425,top,0
R5,142.17,-60.45,top,180
R6,149.8,-54.15,top,180
R7,154.1,-57.95,top,0
R8,154.32,-60.477575,top,180
R9,101.55,-63.4,top,90
R10,103.575,-63.4,top,90
R11,105.6,-63.4,top,90
R12,187.35,-124.5,top,180
R13,191.55,-127.821066,top,0
R14,186.55,-121.683566,top,90
R20,161.7,-54.2,top,180
R21,165.8,-57.962575,top,0
R22,166.27,-60.477575,top,180
R23,173.3,-54.45,top,180
R24,177.92,-57.962575,top,0
R25,177.92,-60.477575,top,180
R26,185.85,-54.75,top,180
R27,190.72,-57.962575,top,0
R28,190.72,-60.477575,top,180
R32,164.8,-128.153934,top,0
R33,160.85,-124.203934,top,180
R34,160.85,-122.053934,top,0
R35,178.31,-128.35,top,0
R36,174.3225,-124.6,top,180
R37,173.61,-121.6,top,90
U1,104.9,-71.4,top,90